publicId,uploader,thumbnailUrl,visibility,license,title,originalAuthor,description,stats.noteCount,stats.tempo,stats.duration,stats.minutesSpent,stats.nbsVersion,createdAt
aI3WWwk3A0,AnAn,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/aI3WWwk3A0.png,public,standard,Tò Te Tí - Wren Evans (.ft itsnk) - Verse 1,Wren Evans (.ft itsnk),Username: Courisenz\nRegion: Patched Plateaus\n#summit26,1066,20,64.35000000000001,493,5,2026-05-21T14:27:03.807Z
XaFt2fa4FB,AnAn,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/XaFt2fa4FB.png,public,standard,Rainie Love - Rainie Yang (Chorus),Rainie Yang,Username: Courisenz\r\nRegion: Welded Woodlands\r\n#summit26,718,10,56.1,745,5,2026-05-21T14:29:32.047Z
2ESweEbBiP,BuilderAltWCF1,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/2ESweEbBiP.png,public,cc_by_sa,Permafrost ( #summit26 ),,For The Summit of One's Success Jam!\r\nWill play inside [Welded Woodlands].\r\n\r\nOriginal song by me!,33122,30,345.5,300,5,2026-06-11T06:33:13.204Z
XRppo6N96A,CreeperJuice,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/XRppo6N96A.png,public,cc_by_sa,Welcome To The City (Smithed Summit 2026 ver.),Toby Fox,"""Welcome To The City"" from DELTARUNE Chapter 2 modified for Smithed Summit 2026.\r\n\r\n#summit26\r\n[Patched Plateaus]\r\nMinecraft username: Creeper_Juice\r\n\r\nI chose this song because I thought it fit all the themes of the Patched Plateaus prompt (""city"", ""colorful"", ""modern"" and ""playful""). I changed some instruments and changed the main melody to a guitar so it would feel less ""cyber"" and more ""outdoor-like"".",4070,20,111.65,417,5,2026-05-26T13:24:41.559Z
xk2zkPLVbz,CreeperJuice,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/xk2zkPLVbz.png,public,cc_by_sa,Forest Layer: Eggshell Hotel (Smithed Summit 2026 ver.),Nintendo,"""Forest Layer: Eggshell Hotel"" from Donkey Kong Bananza modified for Smithed Summit 2026.\n\n#summit26\n[Textured Tropics]\nMinecraft username: Creeper_Juice\n\nI chose this song because I thought it fit the ""tropical"", ""warm"" and ""vacation"" themes of the Textured Tropics prompt. I changed a couple instruments to make it even more tropical and added some bamboo sounds to the percussion for the ""jungle"" and ""bamboo shoots"" parts of the prompt.\n\nNote: I haven't made a ""normal"" cover of this song. I've only made this version for Smithed Summit 2026.",3908,20,114.80000000000001,534,5,2026-05-26T13:30:31.001Z
MiYEEv4kU7,CreeperJuice,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/MiYEEv4kU7.png,public,cc_by_sa,Canyon Layer (Smithed Summit 2026 ver.),Nintendo,"""Canyon Layer"" from Donkey Kong Bananza modified for Smithed Summit 2026.\n\n#summit26\n[Welded Woodlands]\nMinecraft username: Creeper_Juice\n\nI chose this song because I thought it fit the ""industrial"", ""serious"" and ""suspenseful"" themes of the Welded Woodlands prompt. I changed many instruments to make it feel cold and snowy instead of dry and canyon-y. I also slowed the song down to make it feel more serious.",7171,13.33,149.43735933983496,955,5,2026-05-26T13:32:27.190Z
nXU6wKWqJq,EternalD6,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/nXU6wKWqJq.png,public,standard,The StarDrop Saloon-ConcernedApe,ConcernedApe,Username: EternalD6\r\nRegion: [Patched Plateaus]\r\n#summit26,1709,20.32,81.1515748031496,110,5,2026-05-22T11:24:14.388Z
4wz5LXxSvh,Frougfrog,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/4wz5LXxSvh.png,public,cc_by_sa,Apex Tropicorum [#summit26],,"Original song by me. \r\n\r\nI got lazy with the naming, so I just dumped ""tropics"" into google translate, and added apex, in other words, summit, at the front.\r\n\r\n#summit26 [Textured Tropics]",12090,20,100.85000000000001,1233,5,2026-06-14T19:54:34.345Z
YsZKWe77YL,GamingTriz,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/YsZKWe77YL.png,public,cc_by_sa,Splitting Edges of the Universe Compressed,,for the last time T_T #summit26,17473,17.05,175.19061583577712,1025,5,2026-07-28T01:59:10.275Z
rf2ZcZUXiE,L0ndRzZz,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/rf2ZcZUXiE.png,public,standard,The Primal Scene of Japan the Girl Saw (Smithed Summit 2026 ver.),ZUN,Hi! This a remix of the Touhou 10 Mountain of Faith Stage 5 theme. Hope you enjoy it! :)\r\n\r\nI'm submitting this song to be played in #summit26 [Patched Plateaus],23908,20,180,268,5,2026-06-15T02:10:10.352Z
C36c5Rfexy,L0ndRzZz,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/C36c5Rfexy.png,public,standard,"Gensokyo, Past and Present ~ Flower Land (Smithed Summit 2026 ver.)",ZUN,Hi! This a remix of the Touhou 9 Phantasmagoria of Flower View theme (Yuuka Kazami's theme). Hope you enjoy it! :)\r\n\r\nI'm submitting this song to be played in #summit26 [Patched Plateaus],15820,20,154.85000000000002,114,5,2026-06-15T02:14:27.347Z
Paab2vqJtu,L0ndRzZz,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/Paab2vqJtu.png,public,standard,The Cliff Hidden in Deep Green (Smithed Summit 2026 ver.),ZUN,Hi! This a remix of the Touhou 18 Unconnected Marketeers Stage 2 theme. Hope you enjoy it! :)\r\n\r\nI'm submitting this song to be played in #summit26 [Textured Tropics],11330,20,105.60000000000001,238,5,2026-06-15T02:19:35.811Z
zv7U78vyPa,L0ndRzZz,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/zv7U78vyPa.png,public,standard,Fall of Fall ~ Autumnal Waterfall (Smithed Summit 2026 ver.),ZUN,Hi! This a remix of the Touhou 10 Mountain of Faith Stage 4 theme. Hope you enjoy it! :)\r\n\r\nI'm submitting this song to be played in #summit26 [Textured Tropics],20601,20,215.20000000000002,213,5,2026-06-15T02:20:27.417Z
IPW4RKVBKM,L0ndRzZz,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/IPW4RKVBKM.png,public,standard,Illusory Science ~ Doll's Phantom (Smithed Summit 2026 ver.),ZUN,Hi! This a remix of the Seihou Shuusou Gyoku theme (Vivit's 2nd theme). Hope you enjoy it! :)\r\n\r\nI'm submitting this song to be played in #summit26 [Welded Woodlands],10905,20,92,15,5,2026-06-15T02:21:23.406Z
kppVwbwQiv,L0ndRzZz,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/kppVwbwQiv.png,public,standard,The Obsolescent Industrial Remains (Smithed Summit 2026 ver.),ZUN,Hi! This a remix of the Touhou 18 Unconnected Marketeers Stage 4 theme. Hope you enjoy it! :)\r\n\r\nI'm submitting this song to be played in #summit26 [Welded Woodlands],21031,20,220.8,344,5,2026-06-17T00:02:46.743Z
iRVUOIN2fn,MissxSniper,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/iRVUOIN2fn.png,public,standard,"Gravel, Dirt and Cobblestones",,"#summit26 [Textured Tropics]\r\nGravel, Dirt and Cobblestones - MissxSniper",2202,10,193.5,1069,5,2026-06-21T07:20:09.226Z
qOYdt8NUue,PScout,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/qOYdt8NUue.png,public,standard,Steam Gardens - Super Mario Odyssey,Koji Kondo,#summit26 [Textured Tropics],26085,20,213.60000000000002,412,6,2026-06-21T19:51:14.770Z
zUBMrE4nAS,PScout,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/zUBMrE4nAS.png,public,standard,There She Is - Portal 2,Mike Morasky,#summit26 [Welded Woodlands],22080,12,259.66666666666663,171,5,2026-06-21T19:53:10.008Z
RPmSebjDG2,PScout,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/RPmSebjDG2.png,public,standard,Wheatley Science - Portal 2,Mike Morasky,#summit26 [Welded Woodlands],8686,18.66,137.40621650589497,69,5,2026-06-21T19:53:49.454Z
lLgyRPgo8D,PScout,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/lLgyRPgo8D.png,public,standard,Nighttime on the Island - Tomodachi Life Living the Dream,Nintendo Sound Team,#summit26 [Patched Plateaus],1165,12.93,134.33874709976797,91,6,2026-06-21T20:44:47.341Z
3gvpWPJp1S,PianoPersona,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/3gvpWPJp1S.png,public,cc_by_sa,amarillo (for Patched Plateau),,(for Patched Plateau)\n#summit26,19906,20,182,1809,5,2026-06-16T02:37:04.358Z
PWIiyzai8B,PlayfulPotato,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/PWIiyzai8B.png,public,standard,Summer Dew,,Created for Smithed Summit 2026\r\nInspired By Stardew Valley\r\n\r\n#summit26\r\nMinecraft IGN: LoginatorV\r\n[Patched Plateaus]\r\n\r\n(Why can't author names have capitals I want to be PlayfulPotato this is a SCAAAMMMM),12276,10,134,416,6,2026-06-21T04:13:20.248Z
rSMsgR8NQH,PlayfulPotato,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/rSMsgR8NQH.png,public,standard,Do Mechanical Bees Dream of Skis,,Made for Smithed Summit 2026\r\nInspired by Louis Cole\r\n\r\n#summit26\r\nMinecraft IGN: LoginatorV\r\n[Welded Woodlands],14844,10,152.3,757,6,2026-06-21T04:16:46.997Z
XN2H7Qfrsm,PlayfulPotato,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/XN2H7Qfrsm.png,public,standard,"Builder Man, Builder Jam",,Made for Smithed Summit 2026\r\nWhat in the genre is this?\r\n\r\n#summit26\r\nMinecraft IGN: LoginatorV\r\n[Patched Plateaus],16806,10,128.5,647,6,2026-06-21T04:19:06.214Z
MyNlAfauHY,PlayfulPotato,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/MyNlAfauHY.png,public,standard,Where The Fun Guys Go,,Made for Smithed Summit 2026\r\nWhere The Fungi Grow? Carnival Dance! What?\r\n\r\n#summit26\r\nMinecraft IGN: LoginatorV\r\n[Textured Tropics],15680,10,116.80000000000001,711,6,2026-06-21T04:21:28.435Z
