publicId,uploader,thumbnailUrl,license,title,originalAuthor,description,stats.noteCount,stats.tempo,stats.duration,stats.minutesSpent,stats.nbsVersion,createdAt
ZhqmXKLrlf,Tzunamy,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/ZhqmXKLrlf.png,standard,Wintry Woods [#summit26],,"[Created for the Welded Woodlands]\r\n\r\nWith the highest part of the mountain covered in snow, many many creative individuals decided to share their own creations with the world! As they set their booths on the snowy floor, the forest started singing to them... a mysterious, yet calm melody kept them safe from the dangers of the woods.",17640,20,176.4,1694,6,2026-06-22T02:49:27.369Z
PeXxdefOtw,PlayfulPotato,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/PeXxdefOtw.png,standard,World Shattering Providence (Smithed Mix),,Remixed for Smithed Summit 2026\r\nI couldn't help myself. From the start I felt this song would fit with a couple changes. Sooo..... here we are.\r\n\r\n#summit26\r\nMinecraft IGN: LoginatorV\r\n[Welded Woodlands],15463,15,111.93333333333334,987,6,2026-06-22T02:42:02.607Z
cJmP72kUj4,reydotcast,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/cJmP72kUj4.png,standard,Welded Woodlands - With Hands Raised To The Sky,,"#summit26 [Welded Woodlands]\r\n\r\nwith hands raised to the sky aims to embody exploration and discovery in the harsh cold, having an INTENSE up and down story to it\r\nthis song is a little bit overdramatic, being the first song i made for the jam, but hey, what can i say i did a pretty good job on it",19954,16,180.9375,586,6,2026-06-22T00:34:33.202Z
Vom8RJneOC,reydotcast,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/Vom8RJneOC.png,standard,Textured Tropics - Bamboo Bossa,,"#summit26 [Textured Tropics]\r\n\r\nthis location felt like my call to stray even more from my typical style, leading me more into the percussion (which i love to neglect), making an exotic feel out of silverfish maracas and whatever sounds the bamboo hit noise represents :3",16883,22,162.95454545454547,556,6,2026-06-22T00:31:27.750Z
T6ULFE1tM0,reydotcast,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/T6ULFE1tM0.png,standard,Patched Plateaus - A Place To Be Alive (Among The Sunflowers),,"#summit26 [Patched Plateaus]\r\n\r\nthe main thing i notice about the patched plateaus is the beautiful sunflower fields that break up the city!\r\nthis song, having some loose inspiration from the Lewis Armstrong tune What A Wonderful World, aims to embody skipping through the fields and stopping to smell the flowers!",14544,16,165.0625,916,6,2026-06-22T00:12:58.479Z
lLgyRPgo8D,PScout,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/lLgyRPgo8D.png,standard,Nighttime on the Island - Tomodachi Life Living the Dream,Nintendo Sound Team,#summit26 [Patched Plateaus],1165,12.93,134.33874709976797,91,6,2026-06-21T20:44:47.341Z
RPmSebjDG2,PScout,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/RPmSebjDG2.png,standard,Wheatley Science - Portal 2,Mike Morasky,#summit26 [Welded Woodlands],8686,18.66,137.40621650589497,69,5,2026-06-21T19:53:49.454Z
zUBMrE4nAS,PScout,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/zUBMrE4nAS.png,standard,There She Is - Portal 2,Mike Morasky,#summit26 [Welded Woodlands],22080,12,259.66666666666663,171,5,2026-06-21T19:53:10.008Z
qOYdt8NUue,PScout,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/qOYdt8NUue.png,standard,Steam Gardens - Super Mario Odyssey,Koji Kondo,#summit26 [Textured Tropics],26085,20,213.60000000000002,412,6,2026-06-21T19:51:14.770Z
iRVUOIN2fn,MissxSniper,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/iRVUOIN2fn.png,standard,"Gravel, Dirt and Cobblestones",,"#summit26 [Textured Tropics]\r\nGravel, Dirt and Cobblestones - MissxSniper",2202,10,193.5,1069,5,2026-06-21T07:20:09.226Z
8dqzthf7zm,PlayfulPotato,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/8dqzthf7zm.png,standard,Fairy Fox Festival,,Made for Smithed Summit 2026\r\nTelling me there was going to be bamboo shoots in a zone is going to be the second worst mistake they ever make.\r\n\r\n#summit26\r\nMinecraft IGN: LoginatorV\r\n[Textured Tropics],13578,10,155.20000000000002,292,6,2026-06-21T04:28:52.144Z
MyNlAfauHY,PlayfulPotato,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/MyNlAfauHY.png,standard,Where The Fun Guys Go,,Made for Smithed Summit 2026\r\nWhere The Fungi Grow? Carnival Dance! What?\r\n\r\n#summit26\r\nMinecraft IGN: LoginatorV\r\n[Textured Tropics],15680,10,116.80000000000001,711,6,2026-06-21T04:21:28.435Z
XN2H7Qfrsm,PlayfulPotato,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/XN2H7Qfrsm.png,standard,"Builder Man, Builder Jam",,Made for Smithed Summit 2026\r\nWhat in the genre is this?\r\n\r\n#summit26\r\nMinecraft IGN: LoginatorV\r\n[Patched Plateaus],16806,10,128.5,647,6,2026-06-21T04:19:06.214Z
